ENGLISH,ARABIC,FRENCH,CATEGORY
Eastern Oyster,محار شرقي,Huître orientale,
Eau de Vie,مشروب أو دي في,Eau de Vie,
Eccles Cake,كيك إيكلس,Eccles Cake,
Echinacea,نبات القنفذية,Échinacée,
Edam,جبنة إيدام,Edam,
Eddo,قلقاس,Eddo,
Eddoe,قلقاس,Eddoe,
Edible Dormouse,,Dortoir comestible,
Edible Oil,زيت صالح للأكل,Huile comestible,
Edible Oils,زيوت صالح للأكل,Huiles comestibles,
EDTA,,Ethylènediaminetétraacétate,
Eel,الانقليس,Anguille,
Egg,بيض,Œuf,
Egg Albumen,بياض البيض,Albumine d'œuf,
Egg Barley,شعير البيض,Œuf d'orge,
Egg Cream,"شراب ""كريم إيج""",Crème d'œufs,
Egg noodles,نودلز البيض,Nouilles aux œufs,
Egg White,بياض البيض,Blanc d'œuf,
Egg Yolk,صفار البيض,Jaune d'œuf,
Eggplant,باذنجان,Aubergine,
Eggs,بيض,Œufs,
Elderberry,نبات الخمان,Sureau,
Electrolyte Blend,خليط إليكترولايت,Mélange d'électrolytes,
Eleutherococcus Sentcosus,,Eleutherococcus senticosus,
Elk,حيوان الإلكة,Wapiti,
Emmental Cheese,جبنة إيمينتال,Emmental,
Emmentaler Cheese,جبنة إيمينتال,Emmental,
EMS,,Sels émulsifiants,
Emu,,Émeu,
EMU,,Émulsifiants,
Emulsifier ,مستحلب ,Émulsifiant,
Emulsifier Salt ,ملح المستحلب ,Sel émulsifiant,
Emulsifier Salts ,أملاح المستحلب ,Sels émulsifiants,
Emulsifiers ,المستحلبات ,Émulsifiants,
Emulsifiers and Emulsifier Salts ,المستحلبات وأملاح المستحلب ,Émulsifiants et Sels émulsifiants,
Emulsifying Salts ,أملاح الاستحلاب ,Sels émulsifiants,
Endive,الهندباء,Endive,
Energy kcal,الطاقة بالكيلو سعرة حرارية,Kcal d'énergie,
Energy Shot,جرعة طاقة,Energy Shot,
English,إنجليزي,Anglais,
English Breakfast Tea,شاي إنجليش بريكفاست,Thé anglais,
English Muffin,المافن الإنجليزي,Muffin anglais,
English Mustard,خردل إنجليزي,Moutarde anglaise,
Enriched Bleached Flour,دقيق أبيض معزز,Farine blanchie enrichie,
Enriched egg noodles ,نودلز بيض معزز,Nouilles aux œufs enrichies,
Enriched Flour,دقيق معزز,Farine enrichie,
Enriched wheat flour ,دقيق طحين معزز,Farine de blé enrichie,
Entire Wheat Flour,دقيق القمح الكامل,Farine de blé entière,
Enzymatically hydrolysed carboxy methyl cellulose,سليلوز الميثيل الكربوكسي المتحلل بالماء الإنزيمي,Carboxyméthylcellulose hydrolysée de manière enzymatique,
Enzymatically Hydrolyzed Carboxymethyl Cellulose,,Carboxyméthylcellulose hydrolysée de manière enzymatique,
Enzyme Treated Starch,نشا معالج بالإينزيمات,Amidon traité aux enzymes,
Enzymes,انزيمات,Enzymes,
Epazote,شاي مكسيكي,Epazote,
Epsom Salt,ملح إنجليزي,Sel d'Epsom,
Ergocalciferol,إرغوكالسيفرول,Ergocalciférol,
Ergosterol,إرجوستيرول,Ergostérol,
Eruca,جرير,Eruca,
Erythorbic acid,حمض الإريثوبيك,Acide érythorbique,
Erythorbin Acid,حمض الإريثوبيك,Acide érythorbine,
Erythritol,إريثريتول سكر من الطحالب,Érythritol,
Erythrosine,إريتروسين اللون الأحمر في بعض الصناعات الطبية,Érythrosine,
Escargot,حلزون,Escargot,
Esccolar,تونة بيضاء,Esccolar,
Espagnole Sauce,صلصة أسبانية,Sauce espagnole,
Estragon,طرخون,Estragon,
Ethanol,إيثانول,Éthanol,
Ethoxylated Mono and Diglycerides,,Mono et diglycérides éthoxylés,
Ethoxyquin,,Éthoxyquine,
Ethyl Acrylate,إثيل أكريليت,Acrylate d'éthyle,
Ethyl cellulose,إثيل سيليولوز,Ethyl Cellulose,
Ethyl Crotonate,كروتونات الأثيل,Crotonate d'éthyle,
Ethyl Formate,فورميت الأثيل,Formiate d'éthyle,
Ethyl Isobutyrate,أيزوبوتيرات الأثيل,Isobutyrate d'éthyle,
Ethyl Lactate,لاكتيت الأثيل,Lactate d'éthyle,
Ethyl lauroyl arginate,أرجينات لاوريول الأثيل,Ethyl lauroyle arginate,
Ethyl Maltol,مالتول الأثيل,Ethyl Maltol,
Ethyl Methyl Cellulose,سيلولوز ميثيل الأثير,Ethyl méthyl cellulose,
Ethyl Nonanoate,نانونيت الأثيل,Nonanoate d'éthyle,
Ethyl Oxyhydrate,أكسيهايدريت الأثيل,Oxyhydrate d'éthyle,
Ethyl p hydroxybenzoate,,Ethyl p hydroxybenzoate,
Ethyl Paraben,,Parabene d'éthyle,
Ethyl Propionate,بروبيونات الإيثيل,Propionate d'éthyle,
Ethyl Sorbate,,Sorbate d'éthyle,
Ethyl Vanillin,,Vanilline d'éthyle,
Ethyl 2 4 Hexadieonate,,Ethyl 2 4 hexadiéonate,
Ethyl Methyl Phenyl Glycidate,إيثيل ميثيل فينيل جليسيد,Ethyl méthyl phényl glycidate,
Ethylene Oxide Polymer,بوليمر أكسيد الإيثيلين,Polymère d'oxyde d'éthylène,
Ethylenediamine Tetraacetic Acid,حمض الأسيتيك الإيثيلي الدياميني,Acide Éthylène Diamine Tétra Acétique,
Ethylenediaminetetraacetate,,Ethylènediaminetétraacétate,
Eton Mess,,Eton Mess,
Eugenol,,Eugenol,
European Oyster,محار أوروبي,Huître européenne,
European Pilchard,,Pilchard européen,
Europen Anchovy,أنشوجة أوروبية,Anchois Européen,
Euthynnus,,Euthynnus,
Evaporated Coconut Milk,حليب جوز هند مكثف,Lait de coco évaporé,
Evaporated Milk,حليب مكثف,Lait évaporé,
Evapourated Milk,حليب مكثف,Lait évaporé,
Eve's Pudding,بودينغ إيف,Pudding d'Ève,
Evening Primrose,زهرة الربيع المسائية,Onagre,
Evening Primrose Oil,زيت زهرة الربيع المسائية,Huile d'onagre,
Extra Sharp,حاد جداً,Extra Sharp,
Extract,مستخلص,Extrait,
Extract of Malted Barley and Corn,مستخلص الشعير المملح والذرة,Extrait d'orge malté et de maïs,
Extracts,مستخلصات,Extraits,
Extracts of rosemary,مستخلص إكليل الجبل,Extraits de romarin,
FAC,,Classe d'additif alimentaire,
Fagioloni,لوبيا خضراء,Fagioloni,
Fagottini,باستا فاغوتيني,Fagottini,
Fainelle,باستا فينيل,Fainelle,
Fallow Deer,الأيل الأسمر الأوروبي,Daim,
False Albacore,سمكة الكبريت,Thonine commune,
False Flax Oil,زيت الكاميلينا,Huile de cameline,
Family Flour,طحين العائلة,Farine de famille,
Fancy,فخم,Fancy,
Fancy Shred,شرائح فانسي,Fancy Shred,
Fancy Shredded,شرائح فانسي,Fancy Shredded,
Fanta Orange,فانتا برتقال,Fanta orange,
Fantesk,,Fantask,
Farfalle,,Farfalle,
Farfalline,,Farfalline,
Farina,دقيق,Farine,
Farmer Cheese,جبنة المزارعين,Fromage fermier,
Farnesol,فارنيسول,Farnesol,
Fast Green FCF,,Vert rapide FCF,
Fat,دهن,Matière grasse,
Fat Free,خالي من الدهون,Sans matière grasse,
Fat Rascal,"كيك ""فات راسكال""",Gâteau Fat Rascal,
Fat reduced cocoa powder,مسحوق الكاكاو قليل الدسم,Poudre de cacao réduite en matière grasse,
Fat reduced Cocoa Powder,مسحوق الكاكاو قليل الدسم,Poudre de cacao allégée,
Fatty acid esters of ascorbic acid,استرات الأحماض الدهنية لحمض الاسكوربيك,Esters d'acides gras d'acide ascorbique,
Fatty Acids,الأحماض الدهنية,Acides gras,
Fazzoletti,باستا فازوليتي,Fazzoletti,
FD&C,,FD&C,
FD&C Blue #1,,FD&C Bleu #1,
FD&C Blue #2,,FD&C Bleu #2,
FD&C Green #3,,FD&C Vert #3,
FD&C Red #3,,FD&C Rouge #3,
FD&C Red #40,,FD&C Rouge #40,
FD&C Yellow #5,,FD&C Jaune #5,
FD&C Yellow #6,,FD&C Jaune #6,
Feather Shredded,,Feather Shredded,
Fedelini,باستا سباغيتي,Fedelini,
Feijoa,نبات فيجوة,Feijoa,
Feni,مشروب فيني,Feni,
Fennel ,الشمر,Fenouil,
Fennel Bulb,الشمر,Tête de fenouil,
Fenugreek,نبات الحلبة,Fenugrec,
Fenugreek leaves,أوراق الحلبة,Feuilles de fenugrec,
Fenugreek Seeds,بذور الحلبة,Graines de fenugrec,
Fermented,مخمر,Fermenté,
Fermented Tea,الشاي المخمر,Thé fermenté,
Ferrazuoli,,Ferrazuoli,
Ferrero Rocher,فيريرو روشيه,Ferrero Rocher,
Ferric Ammonium Citrate,سترات الأمونيوم الحديديك,Citrate d'ammonium ferrique,
Ferric Chloride,كلوريد الحديديك,Chlorure ferrique,
Ferric Citrate,سترات الحديديك,Citrate ferrique,
Ferric Orthophosphate,فوسفات الحديديك,Orthophosphate ferrique,
Ferric Oxide,أكسيد الحديديك,Oxyde ferrique,
Ferric Phosphate,فوسفات الحديديك,Phosphate ferrique,
Ferric Pyrophosphate,بيروفوسفات الحديديك,Pyrophosphate ferrique,
Ferric Sulfate,كبريتات الحديديك,Sulfate ferrique,
Ferric Sulphate,كبريتات الحديديك,Sulfate ferrique,
Ferrous Ascorbate,أسكوربات الحديدية,Ascorbate ferreux,
Ferrous Carbonate,كربونات حديدية,Carbonate ferreux,
Ferrous Citrate,السيترات الحديدية,Citrate ferreux,
Ferrous Fumarate,الفومارات الحديدية,Fumarate ferreux,
Ferrous gluconate,غلوكونات الحديد,Gluconate ferreux,
Ferrous Gluconate,غلوكونات الحديدية,Gluconate ferreux,
Ferrous lactate,اللاكتات الحديدية,Lactate ferreux,
Ferrous Sulfate,كبريتات الحديد الثنائي,Sulfate ferreux,
Ferrous Sulphate,كبريتات الحديد الثنائي,Sulfate ferreux,
Festoni,,Festoni,
Feta,جبنة فيتا,Feta,
Fettuccine,فيتوتشيني,Fettuccine,
FIA,FIA,Agents raffermissants,
Fiber total dietary,الألياف ، المجموع الغذائي,Fibre apport alimentaire total,
Fibre total dietary,الألياف ، المجموع الغذائي,Fibre apport alimentaire total,
Fiddleheads,,Têtes de violon,
Fiddlehhead Greens,,Têtes de violon,
Fideos,نودلز فيديوس,Fideos,
Field Mushroom,فطر الحقل,Agaric champêtre,
Fig,تين,Figue,
Figgy Pudding,بودينغ التين,Pudding aux figues,
File Herb,عشب فيلي,Herbe de lime,
File Powder,مسحوق فيلي,Poudre de lime,
Fileja,باستا فيليا,Fileja,
Filet Steak,شرائح لحم فيليه,Filet de steak,
Filini,فيليني,Filini,
Filled Milk,حليب معبأ,Lait compensé,
Filo Pastry,معجنات فيلو,Pâte filo,
Filtered Water,مياه مصفاة,Eau filtrée,
Fine Cut,شرائح رفيعة,Coupe fine,
Finely Shredded,شرائح رفيعة,Finement découpé,
Fiorentina,,Fiorentina,
Fiori,,Fiori,
Firming Agents ,عوامل تثبيت,Agents raffermissants,
Fish broth,مرق السمك,Bouillon de poisson,
Fish Pie,فطيرة السمك,Tarte au poisson,
Fish Protein Isolate,عازل بروتين السمك,Isolat de protéines de poisson,
Fish Sauce,صلصة السمك,Sauce poisson,
Fish stock,مخزون السمك,Bouillon de poisson,
Flake,قشر,Flocon,
Flaky Pastry,معجنات هشة,Pâte feuilletée,
Flammkuchen,بيتزا فلامكوتشين,Tarte flambée,
Flan,كعكة فواكه,Flan,
Flank Steak,شريحة لحم البقر,Bifteck de flanc,
Flat Iron Steak,شريحة لحم البقر الكتف,Steak de fer plat,
Flat Noodle,نودلز مسطحة,Nouilles plates,
Flavor Enhancers ,معززات النكهة ,Exhausteurs de goût,
Flavoring Agents and Adjuvants ,عوامل تنكيه ومواد مساعدة,Agents aromatisants et adjuvants,
Flavors ,النكهات ,Saveurs,
Flavour Enhancers ,معززات النكهة ,Exhausteurs de goût,
Flavouring Agents and Adjuvants ,عوامل تنكيه ومواد مساعدة,Agents aromatisants et adjuvants,
Flavours ,النكهات ,Saveurs,
Flavoxanthin,فلافوزانثين,Flavoxanthine,
Flaxseed,بذور الكتان,Graine de lin,
FLE,,Exhausteurs de goût,
Flie's Graveyard,"حلى ""جريف ياردز""",Flie's Graveyard,
Florentine,البسكويت الفلورنسي,Florentine,
Flounder,السمك المفلطح,Poisson plie,
Flour,طحين دقيق,Farine,
Flour Treating Agents ,عامل معالجة الدقيق ,Agents de traitement de la farine,
Flour Treatment Agents ,عامل معالجة الدقيق ,Agents de traitement de la farine,
Flouride,الفلوريد,Flouride,
Flummery,حلى الفلاميري,Flummery,
Flying fish Roe,السمك الطائر,Œufs de poisson volant,
Fo Ti,,Fo Ti,
Fo ti tieng,,Fo ti tieng,
FOA,,Agents moussants,
Foaming Agents ,عامل الرغوة,Agents moussants,
Focaccia,فوكاتشيا,Focaccia,
Foglie d'ulivo,,Foglie d'ulivo,
Foire Gras,كبد الأوز,Foire Gras,
Folacin,حمض الفوليك,Folacin,
Folate,حمض الفوليك,Folate,
Folic Acid,حمض الفوليك,Acide folique,
Fom Wisa,,Du Wisa,
Food Additive Class,,Classe d'additif alimentaire,
Food Additives,الإضافات الغذائية,Additifs alimentaires,
Food Black 1,لون طعام أسود ١,Noir alimentaire 1,
Food Coloring ,ملون غذائي ,Colorant alimentaire,
Food Colouring ,ملون غذائي ,Colorant alimentaire,
Formaldehyde,الفورمالديهايد,Formaldéhyde,
Formic Acid,حمض الفورميك,Acide formique,
Fortified Wine,نبيذ معزز,Vin fortifié,
FOS,,Fructooligosaccharide,
Four Spice Mix,مزيج التوابل الأربعة,Mélange de quatre épices,
Fox's Crunch Cream,كريم فوكس كرانش,Crème Fox Crunch,
Frankfurter Sausage,نقانق على الطريقة الفرانكفورتية,Saucisses de Francfort,
Free Flow Agent ,عامل التدفق الحر ,Agent de libre circulation,
Free Flow Agents ,وكلاء التدفق الحر ,Agents à écoulement libre,
Freeze dried,مجفف مجمد,Lyophilisé,
Fregula,باستا فريغولا,Fregula,
Fresh,طازج,Frais,
Freshwater Drum,,Poisson perciforme,
Freshwater Shrimp,جمبري المياه العذبة,Crevettes d'eau douce,
Fresno Chili Pepper,فلفل فرينسو الحار,Piment Fresno,
Fresno Pepper,فلفل فرينسو,Poivre de Fresno,
Fried,مقلي,Frit,
Fried Noodles,نودلز مقلية,Nouilles frites,
Frisee,خس الفرزي,Endive frisée,
Frogs Legs,أقدام الضفدع,Cuisses de grenouilles,
from,من,A partir de,
From Concentrate,من التركيز,A partir de concentré,
Frosted Flakes,رقائق مثلجة,Flocons givrés,
Frozen,مثلج,Congelé,
Frozen Custard,كاسترد مثلج,Crème pâtissière congelée,
Frozen Noodles,نودلز مثلج,Nouilles congelées,
Frozen Yoghurt,زبادي مثلج,Yaourt glacé,
Frozen Yogurt,زبادي مثلج,Yaourt glacé,
Fructooligosaccharide,فراكتوليجوساكاريد FOS,Fructooligosaccharide,
Fructose,فركتوز,Fructose,
Fructose Corn Syrup,شراب فركتوز الذرة,Sirop de maïs au fructose,
Fruit and Vegetable Juice,عصير خضار وفواكه,Jus de fruits et de légumes,
Fruit Beer,بيرة الفاكهة,Bière aux fruits,
Fruit Brandy,براندي الفاكهة,Eau de vie de fruits,
Fruit Crumble,حلوى الفواكه الهشة,Crumble aux fruits,
Fruit Fool,حلوى الفاكهة الإنجليزية,Fruit Fool,
Fruit Pastilles,حلوى الفاكهة الهلامية,Pastilles aux fruits,
Fruit Pie,فطيرة الفاكهة,Tarte aux fruits,
Fruit Squash,مهروس الفاكهة,Courge aux fruits,
Fruit Sugar,سكر الفاكهة,Sucre de fruits,
Fruit Wine,نبيذ الفاكهة,Vin de fruits,
Fruit'n Fibre,ألياف وفاكهة,Fruit et fibre,
Fruity,فاكهي,Fruité,
Fry's Chocolate Cream,كريم شوكولاتة فرايز,Crème au chocolat de Fry,
Frybread,خبز مقلي,Frybread,
FTA,اتفاقية التجارة الحرة,Agents de traitement de la farine,
Fudge,حلوى منفوشة لينة,Fudge,
Full Cream,كامل الدسم,Crème entière,
Full Cream Milk,حليب كامل الدسم,Lait entier,
Fumaric acid,حمض الفوماريك,Acide fumarique,
Funghini,باستا فنغيني,Funghini,
Furcelleran,,Furcelleran,
Fusilli,باستا فوسيلي,Fusilli,
Fusilli Bucati,باستا فوسيلي بوكاتي,Fusilli Bucati,
Galangal,خلنجان,Galanga,
Galangal Root,جذور خلنجان,Racine de galanga,
Galangal Root Powder,بودرة جذور الخلنجان,Poudre de racine de galanga,
Galaxy,شوكولاتة جالاكسي,Galaxy,
Galaxy Honeycomb Crisp,ملعة عسل مع شوكالاتة جالاكسي المقرمشة,Galaxy Honeycomb Crisp,
Galaxy Ripple,جالاكسي ريبيل,Galaxy Ripple,
Galbanum Oil,زيت الكلخ,Huile de galbanum,
Gallic Acid,حمض العفصيك,Acide gallique,
Game,لحم,Gibier,
Game Pie,فطيرة لحم,Tourte à la viande,
Gamma tocopherol,جاما توكوفيرول مضاد أكسدة,Gamma tocophérol,
Gammon,لحم خنزير مدخن,Jambon fumé,
Gaoliang Wine,نبيذ جاو ليانج نبيذ صيني,Vin Gaoliang,
Gar,سمك الغار,Gar,
Garak Guksu,نودلز سميكة كورية,Garak Guksu,
Garak Guksu Noodles,نودلز سميكة كورية,Nouilles Garak Guksu,
Garam Masala,بهارات جارام,Garam masala,
Garbanzos,حمص حب,Garbanzos,
Garden Rocket,ديكورات حدائق,Fusée de jardin,
Garganelli,باستا,Garganelli,
Garibaldi,,Garibaldi,
Garlic,ثوم,Ail,
Garlic Extract,مستخلص الثوم,Extrait d'ail,
Garlic Oil,زيت الثوم,Huile d'ail,
Garlic Salt,بودرة الثوم,Poudre à l'ail,
Garlic Powder,ملح الثوم,Sel à l'ail,
Gatorade,مشروب الطاقة جاتوريد,Gatorade,
GDL,,Glucono Delta Lactone,
GEL,جل,Agents gélifiants,
Gelatin,جيلاتين,Gélatine,
Gelato,آيس كريم,Gelato,
Gellan gum,إضافة غذائية E418,Gomme de gellane,
Gelling Agents ,عامل مثخن للطعام,Agents gélifiants,
Gem Squash,قرع أسود,Cucurbita,
Gemelli,باستا,Gemelli,
Gemsbok,غزال جنوب أفريقي,Gemsbok,
Genetically Modified Organism,أعضاء معدلة جينياً,Organisme génétiquement modifié,
